34 clips to render (workers=4)
  rendered A3_fix (30) in 45.6s
  rendered A1_orig (30) in 45.6s
  rendered A3_orig (30) in 49.1s
  rendered A2_orig (30) in 50.0s
  rendered A5_orig (30) in 13.4s
  rendered A4_fix (30) in 18.7s
  rendered A6_orig (30) in 16.7s
  rendered A4_orig (30) in 22.2s
  rendered A6_fix (30) in 12.7s
  rendered A7_fix (30) in 11.6s
  rendered A6_alt (30) in 15.4s
  rendered A7_orig (30) in 16.1s
  rendered A8_orig (30) in 18.9s
  rendered B2_orig (31) in 18.6s
  rendered B2_fix (31) in 17.0s
  rendered B1_orig (31) in 19.8s
  rendered B3_orig (31) in 13.6s
  rendered B4_orig (31) in 11.6s
  rendered B5_orig (31) in 11.6s
  rendered B4_fix (31) in 14.8s
  rendered B6_orig (31) in 7.5s
  rendered C3_fix (8) in 8.0s
  rendered C2_fix (8) in 12.1s
  rendered C2_orig (8) in 15.5s
  rendered C3_orig (8) in 17.9s
  rendered C5_orig (8) in 12.4s
  rendered C6_fix (8) in 7.7s
  rendered C5_fix (8) in 16.7s
  rendered C6_orig (8) in 18.3s
  rendered D1_orig (19) in 14.3s
  rendered D2_fix (19) in 14.3s
  rendered E1_orig (157) in 12.7s
  rendered D2_orig (19) in 17.3s
  rendered E1_fix (157) in 12.7s
done: 34 clips, 308.7s of audio, 163s wall
